X,Y,Class
0.891145004,-0.70019132,1
0.936811105,-0.702004012,1
1.085964218,-0.07066057,1
0.938419903,-0.567310076,1
0.710820952,0.870218152,1
0.975097242,-0.222050402,1
0.473303696,0.992601597,1
0.074465109,1.137100015,1
0.80023345,0.658720453,1
1.07631451,0.365095377,1
1.000120198,0.105668214,1
0.242034311,1.115740143,1
0.446757246,1.004273379,1
0.423970283,1.049315764,1
0.601026111,0.949951828,1
1.139772039,-0.300295965,1
0.429673503,1.010673454,1
1.09728598,-0.198940685,1
0.753776903,-0.754273106,1
0.022765209,1.056426166,1
1.094872459,0.17989256,1
0.217453169,-1.161015879,1
0.616071928,-1.005295989,1
0.278331767,-1.073728458,1
0.096485377,1.190241858,1
1.151006338,0.214258684,1
1.048510754,-0.516068945,1
1.043908305,-0.336239395,1
0.403811556,1.057449964,1
1.142912567,-0.315855079,1
0.514737369,0.987259969,1
0.408833488,0.985615908,1
1.022839303,0.263312192,1
1.018096323,-0.251252842,1
0.887381585,-0.571382932,1
1.11731027,-0.107463256,1
0.280523189,0.975314243,1
0.674964391,0.884994459,1
0.283340717,1.113267568,1
1.006983017,-0.226589319,1
0.465495559,0.974132388,1
0.113464372,-1.014683847,1
0.96193707,-0.350983701,1
0.102611496,1.0008373,1
1.054052829,0.498526902,1
0.909983853,0.603603866,1
0.281535656,1.047834349,1
0.416215906,-1.010449385,1
0.869955574,-0.565940856,1
0.946541601,-0.655789485,1
0.673247749,-0.818280758,1
0.095550837,1.160441867,1
0.660063144,-0.96892692,1
1.045516622,0.339565214,1
1.145978852,-0.222429567,1
0.82856156,0.619616348,1
0.066388011,1.02870705,1
0.869169144,0.605877791,1
0.580887524,-0.892754284,1
0.459346553,-1.088525177,1
0.598811128,0.975979722,1
0.013203796,-1.030841901,1
0.940823235,-0.482031199,1
0.263118612,-0.966449469,1
1.100946912,0.356630555,1
1.14411075,0.343794813,1
1.098484492,0.307556189,1
0.740493394,-0.834121784,1
0.090833325,1.154156628,1
1.0284915,-0.330405214,1
0.820848092,0.725896959,1
0.963850015,0.445284489,1
0.484730905,1.018327755,1
0.291949886,1.04609024,1
0.580530152,-0.830322715,1
0.500121407,-1.03752782,1
0.838844944,0.821574929,1
0.880002023,0.713735996,1
0.12447276,-1.122402821,1
0.702266007,-0.806531125,1
0.664136145,-0.885496647,1
0.346884828,-1.084208066,1
0.168322458,-1.105452969,1
0.998522149,-0.23253812,1
0.872301366,0.818714301,1
0.016067643,1.019246031,1
0.609586979,0.992805432,1
1.196144742,0.041427169,1
0.739737856,0.791266309,1
0.926533679,-0.42307189,1
1.133470511,0.165566478,1
0.705069313,-0.77434348,1
1.05533525,-0.207854815,1
1.063625017,0.181704832,1
0.756877475,-0.743360773,1
0.997148429,0.664926722,1
0.472959243,0.94229453,1
0.482172747,-1.060420284,1
0.448981794,1.091101862,1
0.749181871,0.804440141,1
1.044937352,0.116190491,1
0.585366451,-0.863235152,1
0.813119222,0.810528806,1
0.543080657,0.877241378,1
0.627248846,-0.894650721,1
1.030836242,0.030569784,1
1.132257399,-0.098885269,1
1.115275969,-0.186098374,1
0.259849129,-1.027371163,1
0.489436957,-0.950500935,1
0.168733912,0.999698432,1
0.763534893,-0.883171547,1
1.035526396,-0.344081853,1
1.059561679,0.156302304,1
0.994405521,0.17761999,1
1.045881058,0.493404801,1
1.031530407,-0.336733381,1
0.176681778,-1.077533446,1
0.322781323,1.004927951,1
0.660197911,-0.961916405,1
0.932956997,-0.703437458,1
0.898084209,0.764139523,1
0.346833617,1.027387358,1
0.201287661,1.00195966,1
1.146131356,-0.031647511,1
0.827458152,-0.574495998,1
1.112271995,0.435571769,1
0.982315597,0.312510823,1
0.474241811,1.096913979,1
0.737430677,-0.741174856,1
0.997681764,-0.297286982,1
0.98838003,-0.401698246,1
0.714264019,-0.778798274,1
0.01006758,1.167201088,1
0.412663939,-0.91666958,1
0.479891425,-0.934904579,1
0.733407358,-0.704516369,1
0.708937187,-0.840960186,1
0.485538709,0.931188937,1
1.147607311,0.309651772,1
0.942573516,0.577867076,1
0.46165353,0.917525555,1
0.103431354,-1.081839489,1
1.061352712,0.178715519,1
1.00727954,0.053723786,1
0.927016852,-0.571855686,1
1.075900483,0.457986488,1
0.288745559,-1.145900178,1
0.109399462,-1.00339609,1
0.86095348,0.531787146,1
0.390855223,-1.001687566,1
0.748981023,-0.916908166,1
0.777515253,-0.909899961,1
0.735693284,-0.830113862,1
0.430246153,1.000051874,1
1.088946613,0.33952658,1
0.390572026,1.114382621,1
0.650424193,0.900334527,1
0.887267035,-0.79133809,1
0.255938473,-1.018271475,1
0.727848861,-0.911210396,1
0.647801054,-0.787745989,1
0.053707364,-1.165158509,1
0.613959858,0.882027262,1
0.184746853,1.101710695,1
0.811059554,-0.755111806,1
0.994202145,-0.216733121,1
1.038889991,-0.047057843,1
0.302735946,-1.141268666,1
0.128085451,-1.115434829,1
1.018170462,0.538452289,1
0.979029389,0.598496525,1
0.283167341,-1.104304241,1
0.876893743,0.686089386,1
0.27250203,0.986574202,1
0.659556453,0.827708842,1
1.049433265,-0.482917298,1
0.432300321,0.904579001,1
1.093978351,0.287457298,1
1.13774505,-0.26141203,1
1.031982717,-0.064099977,1
1.078785925,0.48199019,1
0.351224239,1.02121852,1
0.112245291,-1.113550937,1
0.457987895,0.953105684,1
0.018373575,1.054354937,1
1.038299226,0.168921986,1
0.426452616,-0.964217749,1
0.9130396,-0.455397788,1
0.812194939,-0.609448352,1
0.578480799,0.916829741,1
0.074786886,-1.08669693,1
1.004422704,-0.099541913,1
0.996703902,-0.527001439,1
0.770857036,-0.690221238,1
0.985571883,0.236788006,1
0.97113346,0.332617918,1
0.300857289,1.023511114,1
0.92916326,0.743824456,1
1.129204203,0.192712842,1
0.386744807,1.04257586,1
0.940862566,-0.398613587,1
0.234851163,-1.008145768,1
1.062936453,0.210321049,1
0.64383258,0.912749663,1
0.046857931,1.044974357,1
0.314623507,1.084590384,1
0.900372525,-0.601735837,1
1.117472197,-0.344461987,1
1.060734496,-0.295759601,1
0.9859652,0.331373083,1
0.994666028,-0.658747094,1
0.922095545,-0.474005922,1
0.2935423,-1.13001882,1
0.194396985,-1.118420546,1
1.006595125,-0.347574693,1
1.085586541,0.154331322,1
1.173543711,0.0844811,1
1.085480426,0.350212921,1
0.132830881,-1.11697669,1
0.736294988,-0.830410997,1
0.936987197,0.407580072,1
1.189503011,-0.149213425,1
0.979203896,-0.295645462,1
0.276336225,1.162786959,1
1.039583213,-0.55247075,1
0.763242166,0.841552087,1
0.932861069,-0.560081666,1
0.627845909,0.932506043,1
1.053271284,0.015924145,1
0.70024436,-0.760460698,1
0.563350523,-1.0309946,1
0.133227237,0.992954988,1
0.678136503,-0.933971757,1
0.803432366,-0.768674406,1
0.974239401,-0.395061963,1
1.103718878,-0.284588051,1
0.74398183,-0.890409343,1
0.808922884,-0.733020252,1
0.932286933,0.393011432,1
1.098732247,-0.19102914,1
0.62481547,-0.791125344,1
0.9080243,-0.700185341,1
0.96652505,0.443435339,1
0.682419061,0.94270984,1
0.066379005,-1.008679879,1
0.788386582,-0.639504066,1
1.0775549,0.223863516,1
1.073985512,0.069338844,1
1.147842267,-0.113407109,1
0.496822823,0.897952445,1
0.207908588,0.996061858,1
0.600738432,-1.006957669,1
0.018013034,-1.00805819,1
1.130095993,0.342025472,1
0.39821065,1.080176785,1
0.176978218,-1.040860838,1
1.086445879,-0.013316613,1
0.217771426,1.024265473,1
0.983511165,-0.587458696,1
0.066682072,1.015545721,1
1.147262118,-0.273499152,1
0.775922569,-0.784204666,1
0.76423072,-0.71092457,1
0.07277975,-1.123922705,1
0.13781163,-1.178493758,1
0.96364276,0.361950965,1
0.504535386,-0.932214258,1
0.670065726,0.895310544,1
1.188646178,-0.148940236,1
0.358805629,-1.120004044,1
0.923852884,-0.670839892,1
0.119872856,1.097180106,1
0.123044712,1.030322073,1
1.012423724,0.417195652,1
1.067694246,-0.537861985,1
0.437876471,-1.116087081,1
