X,Y,Class
-5.280102939311218,-0.9796464041976771,2
-3.9804535380302397,-0.6117874383351127,2
-9.115783542076263,-7.13786747734135,1
-4.158585507243809,0.5588977617171517,2
-5.760399468008706,0.36960303287790847,2
-6.958027898822568,-0.8739747752638793,2
-10.496765908494321,-6.279278159304171,1
-4.2246527226471935,0.40317123472240307,2
-8.53422421466764,-3.9676219040260112,1
2.9335693937678173,1.7214174563208644,3
-3.9358560412522534,-0.6524740338172137,2
-3.93183945246873,0.11289707283224962,2
-9.288387719515734,-5.752923117721918,1
-4.149171289810696,-0.27541802607597776,2
3.4358038758828586,0.14984745727330145,3
-3.415972944223373,-1.5345628365730544,2
0.00789527273302748,-0.11364146915996642,3
-8.797694445410752,-6.1849736575515255,1
-3.517499440154525,-1.3167653971958981,2
2.552580448544149,-0.5939858779442482,3
-9.567977586251212,-3.572389567789053,1
-4.402362288645587,1.066673391910065,2
0.5281226193915278,-0.39554463386201577,3
-8.27594784497594,-6.01020279267471,1
-4.974667988025772,-0.6204334611685886,2
-4.6468575389124815,0.42810799302545705,2
-8.969885515806872,-5.504103407396895,1
3.025455918664136,-0.07798641679620277,3
-7.891844542299659,-3.710643666851019,1
-8.788807292288341,-5.598598090770473,1
-11.034679044747415,-7.7625985643885365,1
-7.220092319186649,-6.592990097226663,1
-10.898865735754487,-4.612479682502246,1
-9.717564962695947,-5.249965058438999,1
-7.842395995498855,-5.803166786180901,1
-11.766550820504573,-4.032851100362805,1
2.3605951866332306,-0.9011550513663062,3
1.1583793058324328,-0.12988217043871642,3
-8.505959538615887,-8.632833404126508,1
-11.176530841983087,-4.330181869745947,1
1.4970138175265004,-0.9620818317421824,3
2.6488733383555387,0.23869776316483948,3
-0.3180785811194218,1.7535075251669314,3
-6.938654364865531,-1.3383406883141062,2
-3.76713318398067,-0.7926261401700706,2
-4.936379982517299,0.5184713840170319,2
-8.553109405568444,-4.399719645151522,1
3.0441247881571316,2.1303157008460243,3
-2.7960214124985026,1.5713674502749875,2
-4.9288378266279125,-1.320632221002878,2
-9.624863980422647,-4.152139528670594,1
-6.448808940042539,1.8206524512435442,2
-4.6078952274423965,1.1317284231963916,2
-7.8330111613799325,-5.165362380566802,1
2.7083937896535604,1.0000544324349232,3
-8.753519851025285,-4.776061127511109,1
-8.528305042456239,-3.840450941893152,1
-5.968777531245554,-1.080165212341282,2
2.487207229099673,0.5903113874645783,3
-1.8163484694186134,1.5461324865599397,2
-4.973688241621181,1.5497203053764366,2
1.2694624233049536,-2.6481353098944984,3
-3.6114793395130067,-1.5646654277524175,2
2.779194897137347,0.48397026157940287,3
1.275911580978947,-0.30008618593679126,3
2.6704053386627535,1.0546697305511108,3
-6.044775859838306,0.37796624841785115,2
-4.95821461461804,0.328896249008524,2
3.0032755420121964,0.13745562884160667,3
-8.626765142009749,-4.619686449047856,1
0.17944144101723958,1.2759033689624197,3
-3.142585722859029,0.4243599163065565,2
-5.246581223418232,-0.7765008268217793,2
1.461115728046251,2.837744058179275,3
-9.616240166476523,-3.288946251909336,1
3.4736826930012095,-1.4694440603587435,3
-4.85826982541477,-0.21359672826738546,2
